Date and Time	Input Voltage(V)	Output Voltage(V)	Input Frequency(Hz)	Output Frequency(Hz)	Load Capacity(%)	Internal Temperature(℃)	Backup Time(Min)	Battery Voltage(V)	Battery Capacity(%)
﻿2021-02-13 18:05:44.806	94.8	95.2	49.9	49.9	15	35.4	112	53.8	100
﻿2021-02-13 18:05:49.817	94.8	95.2	49.9	49.9	15	35.4	105	53.8	100
﻿2021-02-13 18:05:55.808	94.4	95.2	49.9	49.9	15	35.4	105	53.8	100
﻿2021-02-13 18:06:00.817	94.4	95.2	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:06:06.808	94.3	95.2	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:06:11.816	94.3	95.2	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:06:17.809	94.4	95.2	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:06:22.815	94.4	95.2	49.9	49.9	15	35.4	109	53.8	100
﻿2021-02-13 18:06:28.808	94.4	95.2	49.9	49.9	15	35.7	109	53.8	100
﻿2021-02-13 18:06:33.816	94.4	95.2	49.9	49.9	15	35.7	106	53.8	100
﻿2021-02-13 18:06:39.808	94.4	95.2	49.9	49.9	15	35.7	106	53.8	100
﻿2021-02-13 18:06:44.815	94.4	95.2	49.9	49.9	15	35.4	106	53.8	100
﻿2021-02-13 18:06:50.809	94.4	95.2	49.9	49.9	15	35.7	106	53.8	100
﻿2021-02-13 18:06:55.816	94.4	95.2	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:07:01.808	94.4	95.2	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:07:06.814	94.4	95.1	49.9	49.9	15	35.4	105	53.8	100
﻿2021-02-13 18:07:12.809	94.4	95.1	49.9	49.9	15	35.4	105	53.8	100
﻿2021-02-13 18:07:17.821	94.4	95.2	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:07:22.828	94.4	95.2	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:07:27.837	94.4	95.2	49.9	49.9	15	35.4	111	53.8	100
﻿2021-02-13 18:07:32.846	94.4	95.2	49.9	49.9	15	35.4	111	53.8	100
﻿2021-02-13 18:07:37.855	94.3	95.3	49.9	49.9	15	35.4	111	53.8	100
﻿2021-02-13 18:07:42.862	94.3	95.3	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:07:48.855	94.5	95.1	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:07:53.863	94.5	95.1	49.9	49.9	15	35.7	108	53.8	100
﻿2021-02-13 18:07:59.855	94.6	95.3	49.9	49.9	15	35.4	108	53.8	100
﻿2021-02-13 18:08:04.861	94.6	95.3	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:08:10.852	94.7	95.4	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:08:15.862	94.7	95.4	49.9	49.9	15	35.4	108	53.8	100
﻿2021-02-13 18:08:21.856	94.4	95.2	49.9	49.9	15	35.7	108	53.8	100
﻿2021-02-13 18:08:26.864	94.4	95.2	49.9	49.9	15	35.7	108	53.8	100
﻿2021-02-13 18:08:32.857	94.4	95.2	49.9	49.9	15	35.7	109	53.8	100
﻿2021-02-13 18:08:37.864	94.4	95.2	49.9	49.9	15	35.7	109	53.8	100
﻿2021-02-13 18:08:43.857	94.1	94.9	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:08:48.864	94.1	94.9	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:08:54.855	94.1	94.9	49.9	49.9	15	35.4	109	53.8	100
﻿2021-02-13 18:08:59.862	94.1	95.0	49.9	49.9	15	35.4	109	53.8	100
﻿2021-02-13 18:09:05.854	94.2	95.0	50.0	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:09:10.864	94.2	95.0	50.0	50.0	15	35.7	110	53.8	100
﻿2021-02-13 18:09:16.854	94.2	95.0	49.9	50.0	15	35.4	110	53.8	100
﻿2021-02-13 18:09:21.859	94.2	95.0	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:09:27.853	94.2	95.0	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:09:32.861	94.2	95.0	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:09:38.851	94.2	95.0	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:09:43.859	94.0	94.8	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:09:48.868	94.0	94.8	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:09:53.875	94.1	94.9	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:09:59.869	94.1	94.9	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:10:04.877	94.0	94.8	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:10:10.870	94.0	94.8	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:10:15.876	94.0	94.8	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:10:20.888	94.0	94.8	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:10:25.894	94.0	94.8	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:10:31.887	94.0	94.8	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:10:36.894	94.1	94.9	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:10:41.901	94.1	94.9	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:10:46.910	94.1	94.9	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:10:51.918	94.3	95.1	49.9	49.9	16	35.4	110	53.8	100
﻿2021-02-13 18:10:56.924	94.3	95.1	49.9	49.9	16	35.4	105	53.8	100
﻿2021-02-13 18:11:01.930	94.5	95.2	49.9	49.9	15	35.4	105	53.8	100
﻿2021-02-13 18:11:06.938	94.5	95.2	49.9	49.9	15	35.4	105	53.8	100
﻿2021-02-13 18:11:12.931	94.3	95.3	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:11:17.940	94.3	95.3	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:11:23.931	94.4	95.3	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:11:28.938	94.4	95.3	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:11:34.931	94.5	95.2	49.9	49.9	15	35.4	109	53.9	100
﻿2021-02-13 18:11:39.937	94.5	95.2	49.9	49.9	15	35.4	109	53.9	100
﻿2021-02-13 18:11:45.932	94.5	95.4	49.9	49.9	15	35.4	109	53.8	100
﻿2021-02-13 18:11:50.939	94.5	95.4	49.9	49.9	15	35.4	109	53.8	100
﻿2021-02-13 18:11:56.932	94.5	95.4	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:12:01.940	94.5	95.4	49.9	50.0	15	35.4	110	53.8	100
﻿2021-02-13 18:12:07.932	94.5	95.4	49.9	50.0	15	35.4	110	53.8	100
﻿2021-02-13 18:12:12.938	94.3	95.4	50.0	50.0	15	35.7	110	53.8	100
﻿2021-02-13 18:12:18.930	94.3	95.4	50.0	50.0	15	35.7	110	53.8	100
﻿2021-02-13 18:12:23.935	94.3	95.3	50.0	50.0	15	35.4	110	53.8	100
﻿2021-02-13 18:12:28.940	94.3	95.3	50.0	50.0	15	35.4	110	53.8	100
﻿2021-02-13 18:12:34.933	94.5	95.3	49.9	50.0	15	35.4	108	53.8	100
﻿2021-02-13 18:12:39.941	94.5	95.3	49.9	49.9	15	35.4	108	53.8	100
﻿2021-02-13 18:12:44.948	94.3	95.3	49.9	49.9	15	35.7	106	53.8	100
﻿2021-02-13 18:12:49.952	94.3	95.3	49.9	50.0	15	35.7	106	53.8	100
﻿2021-02-13 18:12:54.959	94.4	95.3	50.0	50.0	15	35.4	105	53.8	100
﻿2021-02-13 18:13:00.951	94.4	95.3	50.0	50.0	15	35.4	105	53.8	100
﻿2021-02-13 18:13:06.946	94.5	95.3	50.0	50.0	15	35.4	110	53.8	100
﻿2021-02-13 18:13:11.954	94.5	95.3	50.0	50.0	15	35.4	110	53.8	100
﻿2021-02-13 18:13:17.952	94.2	95.1	50.0	50.0	15	35.4	110	53.9	100
﻿2021-02-13 18:13:23.947	94.2	95.1	50.0	49.9	15	35.4	110	53.9	100
﻿2021-02-13 18:13:28.955	94.2	95.1	50.0	49.9	15	35.4	110	53.9	100
﻿2021-02-13 18:13:34.949	94.3	95.2	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:13:39.956	94.3	95.2	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:13:45.948	94.1	95.2	49.9	49.9	15	35.4	111	53.8	100
﻿2021-02-13 18:13:50.954	94.1	95.2	49.9	49.9	15	35.4	111	53.8	100
﻿2021-02-13 18:13:55.962	94.3	95.1	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:14:00.970	94.3	95.1	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:14:05.977	94.3	95.1	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:14:10.984	94.0	95.1	49.9	49.9	15	35.7	105	53.8	100
﻿2021-02-13 18:14:16.978	94.0	95.1	49.9	49.9	15	35.7	105	53.8	100
﻿2021-02-13 18:14:21.988	94.0	95.1	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:14:27.982	94.0	95.1	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:14:32.989	94.0	95.0	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:14:38.979	94.0	95.0	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:14:43.985	94.2	94.8	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:14:49.979	94.2	94.8	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:14:54.986	94.0	95.0	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:15:00.983	94.0	95.0	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:15:05.993	94.3	95.0	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:15:11.002	94.3	95.0	49.9	49.9	15	35.7	109	53.8	100
﻿2021-02-13 18:15:16.995	94.1	95.0	49.9	49.9	15	35.4	109	53.8	100
﻿2021-02-13 18:15:22.002	94.1	95.0	49.9	49.9	15	35.4	108	53.8	100
﻿2021-02-13 18:15:27.999	94.2	95.0	49.9	49.9	15	35.7	108	53.8	100
﻿2021-02-13 18:15:33.005	94.2	95.0	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:15:39.000	94.1	94.9	49.9	49.9	15	35.4	110	53.9	100
﻿2021-02-13 18:15:44.006	94.1	94.9	49.9	49.9	15	35.4	108	53.9	100
﻿2021-02-13 18:15:49.999	94.2	95.0	50.0	50.0	15	35.4	108	53.8	100
﻿2021-02-13 18:15:55.995	94.2	95.0	50.0	50.0	15	35.4	106	53.8	100
﻿2021-02-13 18:16:01.003	94.2	95.0	50.0	50.0	15	35.7	106	53.8	100
﻿2021-02-13 18:16:06.997	94.2	95.0	50.0	50.0	15	35.7	109	53.8	100
﻿2021-02-13 18:16:12.004	94.4	95.1	49.9	49.9	15	35.7	109	53.8	100
﻿2021-02-13 18:16:17.996	94.4	95.1	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:16:23.005	94.1	95.3	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:16:28.998	94.1	95.3	49.9	49.9	15	35.4	108	53.8	100
﻿2021-02-13 18:16:34.005	94.6	95.3	49.9	49.9	15	35.7	108	53.8	100
﻿2021-02-13 18:16:39.998	94.6	95.3	49.9	49.9	15	35.7	108	53.8	100
﻿2021-02-13 18:16:46.003	94.5	95.2	49.9	49.9	15	35.4	108	53.9	100
﻿2021-02-13 18:16:51.996	94.5	95.2	49.9	49.9	15	35.4	106	53.9	100
﻿2021-02-13 18:16:57.003	94.5	95.2	49.9	49.9	15	35.4	106	53.8	100
﻿2021-02-13 18:17:03.001	94.5	95.2	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:17:08.007	94.6	95.3	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:17:13.015	94.6	95.3	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:17:18.023	94.4	95.3	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:17:23.030	94.4	95.3	49.9	49.9	15	35.4	111	53.8	100
﻿2021-02-13 18:17:28.039	94.4	95.3	49.9	49.9	15	35.4	111	53.8	100
﻿2021-02-13 18:17:33.045	94.5	95.3	50.0	50.0	15	35.7	109	53.8	100
﻿2021-02-13 18:17:38.054	94.5	95.3	50.0	50.0	15	35.7	109	53.8	100
﻿2021-02-13 18:17:43.060	94.6	95.3	50.0	50.0	15	35.7	109	53.8	100
﻿2021-02-13 18:17:48.068	94.6	95.3	50.0	50.0	15	35.7	110	53.8	100
﻿2021-02-13 18:17:54.061	94.5	95.3	50.0	50.0	15	35.4	110	53.8	100
﻿2021-02-13 18:17:59.067	94.5	95.3	50.0	50.0	15	35.4	108	53.8	100
﻿2021-02-13 18:18:05.062	94.5	95.3	50.0	50.0	15	35.7	108	53.8	100
﻿2021-02-13 18:18:10.068	94.5	95.3	50.0	50.0	15	35.7	108	53.8	100
﻿2021-02-13 18:18:16.063	94.4	95.2	50.0	50.0	15	35.4	108	53.8	100
﻿2021-02-13 18:18:22.054	94.4	95.2	50.0	50.0	15	35.4	110	53.8	100
﻿2021-02-13 18:18:27.061	94.5	95.3	50.0	50.0	15	35.7	110	53.8	100
﻿2021-02-13 18:18:32.066	94.5	95.3	50.0	50.0	15	35.7	110	53.8	100
﻿2021-02-13 18:18:38.057	94.6	95.3	50.0	50.0	15	35.7	110	53.8	100
﻿2021-02-13 18:18:43.064	94.6	95.3	50.0	50.0	15	35.7	110	53.8	100
﻿2021-02-13 18:18:48.073	94.6	95.3	50.0	50.0	15	35.7	111	53.8	100
﻿2021-02-13 18:18:53.080	94.5	95.3	50.0	50.0	15	35.7	111	53.8	100
﻿2021-02-13 18:18:58.087	94.5	95.3	50.0	50.0	15	35.7	111	53.8	100
﻿2021-02-13 18:19:03.092	94.5	95.3	50.0	50.0	15	35.7	111	53.8	100
﻿2021-02-13 18:19:08.099	94.5	95.3	50.0	50.0	15	35.7	109	53.8	100
﻿2021-02-13 18:19:13.108	94.3	95.1	50.0	50.0	15	35.7	109	53.8	100
﻿2021-02-13 18:19:19.103	94.3	95.1	50.0	50.0	15	35.7	110	53.8	100
﻿2021-02-13 18:19:24.109	94.5	95.2	50.0	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:19:29.118	94.5	95.2	50.0	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:19:34.123	94.5	95.2	50.0	49.9	15	35.7	109	53.8	100
﻿2021-02-13 18:19:39.131	94.1	95.1	49.9	49.9	15	35.7	109	53.8	100
﻿2021-02-13 18:19:44.139	94.1	95.1	49.9	49.9	15	35.7	109	53.8	100
﻿2021-02-13 18:19:49.148	94.1	95.0	49.9	49.9	15	35.4	109	53.8	100
